Course Code,Course Name,Semester,Type,Group,Language,ECTS,Career Paths
CEN105,Introduction to Computer Engineering,1,Mandatory,,English,5,software;web;systems
CEN107,Algorithms and Programming I,1,Mandatory,,English,5,software;web;ai
CEN109,Fundamental Information Technologies,1,Mandatory,,English,3,software;web
CEN103,Mühendislik Fiziği I,1,Mandatory,,Turkish,5,systems
CEN101,Mühendislik Matematiği I,1,Mandatory,,Turkish,6,data;ai
TDL101,Türk Dili-I,1,Mandatory,,Turkish,2,
ATA101,Atatürk İlkeleri ve İnkılap Tarihi-I,1,Mandatory,,Turkish,2,
YBD109,Yabancı Dil-I,1,Mandatory,,Turkish,2,
CEN108,Algorithms and Programming II,2,Mandatory,,English,5,software;web;ai
CEN110,Digital Logic Design,2,Mandatory,,English,5,systems
CEN102,Mühendislik Matematiği-II,2,Mandatory,,Turkish,5,data;ai
CEN106,Lineer Cebir,2,Mandatory,,Turkish,4,data;ai
CEN104,Mühendislik Fiziği II,2,Mandatory,,Turkish,5,systems
TDL102,Türk Dili-II,2,Mandatory,,Turkish,2,
ATA102,Atatürk İlkeleri ve İnkılap Tarihi-II,2,Mandatory,,Turkish,2,
YBD110,Yabancı Dil-II,2,Mandatory,,Turkish,2,
CEN203,Ayrık Matematik,3,Mandatory,,Turkish,5,software;ai
CEN201,Diferansiyel Denklemler,3,Mandatory,,Turkish,6,data
ISG203,İş Sağlığı ve Güvenliği-I,3,Mandatory,,Turkish,2,
CEN207,Data Structures,3,Mandatory,,English,5,software;ai;web
CEN210,İşletim Sistemleri,3,Mandatory,,Turkish,4,cyber;networks;systems
CEN209,Computer Networks,3,Mandatory,,English,5,cyber;networks
CEN205,Bilgisayar Mimarileri,3,Mandatory,,Turkish,5,systems
CEN211,İşletme Yönetimi,3,Elective,SECCEN03,Turkish,3,
CEN215,İleri Sunum Teknikleri,3,Elective,SECCEN03,Turkish,3,
CEN217,Mühendisler için İletişim Becerileri,3,Elective,SECCEN03,Turkish,3,
CEN219,İnsan Bilgisayar Etkileşimi,3,Elective,SECCEN03,Turkish,3,web
CEN221,Yapay Zekanın Sosyal Etkileri,3,Elective,SECCEN03,Turkish,3,ai
PFS201,Eğitime Giriş,3,Elective,SECPFS01,Turkish,4,
ISG204,İş Sağlığı ve Güvenliği-II,4,Mandatory,,Turkish,2,
CEN208,Database Management Systems,4,Mandatory,,English,5,software;web;data;cyber
